Text,Language
"Das Essen ist sehr lecker.",German
"Wo ist der Bahnhof?",German
"Mein Bruder spielt Fußball.",German
"Im Herbst regnet es oft.",German
"Die Kinder spielen draußen.",German
"Dieses Buch ist sehr interessant.",German
"Ich werde nach Deutschland reisen.",German
"Die Schule beginnt um acht Uhr.",German
"Ich gehe gerne morgens spazieren.",German
"Können Sie mir bitte helfen?",German
"Der Morgenkaffee ist wichtig.",German
"Meine Mutter kocht sehr gut.",German
"Heute ist ein besonderer Tag.",German
"Ich muss Brot kaufen.",German
"Der Himmel ist blau und klar.",German
"Ich lerne die deutsche Sprache.",German
"Der Film war spannend.",German
"Wir essen heute Abend zusammen.",German
"Der Hund rennt im Garten.",German
"Ich lese gerne vor dem Schlafen.",German
"Der Winter ist kalt in den Bergen.",German
"Musik entspannt mich.",German
"Ich rufe meine Eltern an.",German
"Die Stadt ist sehr lebhaft.",German
"Come stai oggi?",Italian
"Mi piace molto leggere libri.",Italian
"Oggi il tempo è bello.",Italian
"Lei lavora in un ospedale.",Italian
"Andiamo al cinema stasera.",Italian
"Il gatto dorme sul divano.",Italian
"Voglio imparare l'italiano.",Italian
"Il cibo è delizioso.",Italian
"Dov'è la stazione?",Italian
"Mio fratello gioca a calcio.",Italian
"In autunno piove spesso.",Italian
"I bambini giocano fuori.",Italian
"Questo libro è molto interessante.",Italian
"Viaggerò in Italia presto.",Italian
"La scuola inizia alle otto.",Italian
"Mi piace camminare la mattina.",Italian
"Puoi aiutarmi per favore?",Italian
"Il caffè del mattino è importante.",Italian
"Mia madre cucina molto bene.",Italian
"Oggi è un giorno speciale.",Italian
"Devo comprare del pane.",Italian
"Il cielo è blu e sereno.",Italian
"Studio la lingua italiana.",Italian
"Il film è stato emozionante.",Italian
"Ceniamo insieme stasera.",Italian
"Il cane corre nel giardino.",Italian
"Mi piace leggere prima di dormire.",Italian
"L'inverno è freddo in montagna.",Italian
"La musica mi rilassa.",Italian
"Telefono ai miei genitori.",Italian
"La città è molto vivace.",Italian
